covariate,exp(coef)_pre_f_a,exp(coef)lower_pre_f_a,exp(coef)upper_pre_f_a,exp(coef)_pre_m_a,exp(coef)lower_pre_m_a,exp(coef)upper_pre_m_a,exp(coef)_intra_f_a,exp(coef)lower_intra_f_a,exp(coef)upper_intra_f_a,exp(coef)_intra_m_a,exp(coef)lower_intra_m_a,exp(coef)upper_intra_m_a,exp(coef)_pre_f_u,exp(coef)lower_pre_f_u,exp(coef)upper_pre_f_u,exp(coef)_pre_m_u,exp(coef)lower_pre_m_u,exp(coef)upper_pre_m_u,exp(coef)_intra_f_u,exp(coef)lower_intra_f_u,exp(coef)upper_intra_f_u,exp(coef)_intra_m_u,exp(coef)lower_intra_m_u,exp(coef)upper_intra_m_u
Age ,1,1,1,1,1,1.01,1,1,1,1.01,1.01,1.01,1.01126,1.0111,1.01142,1.013755,1.013591,1.01392,1.011245,1.011106,1.011384,1.017021,1.016887,1.017155
First Time Donor (vs Repeat),1.42,1.4,1.45,1.16,1.15,1.17,1.42,1.39,1.44,1.19,1.18,1.2,0.723904,0.711965,0.736043,0.722087,0.716119,0.728104,0.681898,0.671349,0.692613,0.669351,0.66393,0.674817
Total Lifetime Donations,1,1,1,1,1,1,1,1,1,1,1,1,1.004774,1.00473,1.004819,1.008338,1.00827,1.008405,1.005179,1.005138,1.005219,1.00899,1.008934,1.009046
RBC Lost in last 12 months,1.18,1.17,1.18,1.15,1.15,1.16,1.22,1.21,1.22,1.2,1.2,1.21,1.301966,1.300232,1.303703,1.306654,1.304844,1.308465,1.326233,1.324636,1.327833,1.348404,1.346818,1.349992
RBC Lost in last 24 months,1.06,1.06,1.06,1.07,1.07,1.07,1.05,1.04,1.05,1.06,1.06,1.06,1.145166,1.144363,1.145969,1.161443,1.160556,1.16233,1.152056,1.151333,1.152779,1.177862,1.177104,1.178619
High School Age,1.02,1.01,1.03,1.02,1.01,1.03,1.05,1.04,1.07,0.9,0.89,0.9,0.755614,0.747782,0.763529,0.73547,0.730894,0.740074,0.756688,0.749796,0.763643,0.601282,0.597906,0.604676
Female Donors (vs Male),1.02,1.02,1.03,1.03,1.03,1.03,1,0.99,1,1.02,1.02,1.03,0.7817,0.778098,0.785318,0.855403,0.851668,0.859156,0.800736,0.797438,0.804048,0.88716,0.883754,0.890579
Race: Black (vs White),1.12,1.11,1.13,1.07,1.06,1.07,1.07,1.06,1.07,1,0.99,1,0.940471,0.935819,0.945147,0.895038,0.891027,0.899067,0.912401,0.908424,0.916394,0.83931,0.836067,0.842566
Race: Asian (vs White),0.94,0.93,0.95,0.92,0.91,0.93,0.96,0.95,0.97,0.89,0.88,0.89,0.875083,0.866252,0.884005,0.865669,0.85922,0.872166,0.904265,0.895191,0.913432,0.868586,0.862206,0.875013
Race: Mixed (vs White),1.04,1.03,1.05,1.06,1.05,1.07,1.04,1.03,1.05,1.06,1.05,1.07,0.976016,0.964825,0.987337,1.04974,1.040689,1.058871,1.000036,0.989789,1.010389,1.094604,1.086326,1.102945
After Hemoglobin Deferral (vs Completed),0.9,0.89,0.91,0.94,0.93,0.95,0.85,0.84,0.86,1,0.99,1.01,0.771709,0.763929,0.779568,0.815481,0.808626,0.822394,0.767163,0.758239,0.776191,0.914284,0.905686,0.922963
After No Draw (vs Completed),0.58,0.57,0.59,0.78,0.77,0.8,0.59,0.58,0.6,0.73,0.71,0.74,0.514329,0.504404,0.524449,0.652599,0.641394,0.663999,0.466036,0.458163,0.474044,0.519496,0.511222,0.527903
After Other Deferral (vs Completed),0.87,0.86,0.88,0.89,0.89,0.9,1,0.99,1,1.24,1.23,1.25,0.604949,0.599749,0.610194,0.652578,0.646629,0.658582,0.73389,0.727581,0.740254,0.943634,0.934814,0.952536
Blood Type: AB- (vs O+),0.96,0.93,1,0.9,0.86,0.93,1,0.97,1.03,0.94,0.91,0.97,1.005483,0.969183,1.043143,0.937212,0.902468,0.973293,0.977246,0.944033,1.011628,0.977712,0.945074,1.011477
